id,review
913mr,"????? 감동을 주는 꾸준한 울림?-지난밤 넷플릭스에서 새로 나온 <에놀라 홈즈2>를 보았다. 전작인 <에놀라 홈즈>를 재미있게 보아서 기대했는데 충분히 만족스러웠던 영화였다. ???영화의 전체적인 재미는 전작보다 조금 아쉬울 수는 있었다. 아무래도 <에놀라 홈즈> 1편에서의 신선함이 훨씬 크게 다가왔기 때문일 것이다. 그럼에도 불구하고 이 영화가 마음에 들었던 이유는, 1편에 이어 2편에서도 꾸준히 여성의 사회 운동에 초점을 가지고 간다는 것 때문이었다.?거기다가 이번에는 무려 실제로 당시 성냥공장에서 여성노동운동을 펼쳤던 실존 인물인 ‘사라 채프먼’이 등장한다. (전작에서도 여성 참정권 운동은 실제로 있었던 일이었지만 실존 인물이 등장하지는 않았던 것 같은데…) 덕분에 나도 영화를 통해 ‘사라 채프먼’이라는 인물을 알게 되었으니 영화의 상당히 좋은 영향력이 아닐까 싶다. (그리고 인터넷에 찾아보니 한국어 페이지에서는 사라 채프먼에 대한 정보가 생각보다 없었다. 이 영화 덕분에 당시의 사회운동이 다시 주목받게 된 것이 상당히 다행이라는 생각이 든다.)?개인적으로 3편이 나온다면 또 기대하며 기다리게 될 것 같은 작품이었다. 영화가 그렇게 어렵지 않고 스토리가 유쾌함을 깔고 흘러가기 때문에 부담 없이 누구나 이 영화를 즐겨줬으면 하는 마음. "
913mr,"쓰고 연기천재들 총집합이라고 읽으면 되는 부분...? (입틀막)진짜 캐아일체라는 말은 <데시벨>을 위해 탄생한 단어가 분명하다고 생각되는데요?!?! 믿고 보는 배우들이라 그런지, 연기도 너무 좋았고, 폭탄 관련 영화라서 극장에서 봤을 때 그 느낌이 진짜 대박적이쟈나여~~ ?? 진짜 큰 화면에서 빵빵한 사운드로 듣는거 매우 매우 왕 추천!!????스토리, 배우, 볼거리 모든걸 만족해서 100점 만점에 200점 주겠습니다 "
913mr,75% 할인 받고 원하는 OTT 구독 ! 정산 스트레스 받을 필요 없이 한 자리라도 공유하면 매달 정산해드려요계정에 문제가 생기면 언제든 변경하거나 환불 받을 수 있답니다^^이제는 우리 'OTT 쉐어' 하자 ! 
913mr,"위의 포뇨(2008) ★★★☆-미야자키 하야오 감독 / 포뇨(브륀힐트), 소스케, 리사, 후지모토, 그랑 맘마레화면을 가득 채우는 알록달록 색깔들과 몽글몽글한 영상미를 아이의 눈으로 다시 담고 싶어우리집은 폭풍속의 등대야! 어둠속에 있는 사람들이 우리집 불빛으로 용기를 내고 있어. 그러니까 누군가 "
913mr,"수 없는 비밀(2007) ★★★-주걸륜 감독 / 주걸륜(예샹룬), 계륜미(루샤오위), 황추생(예샹룬 아버지)그녀가 남긴 아련한 잔상을 따라 시간의 저편 너머까지, 음악이 이어주는 한 움큼의 노스탤지어.다시는 너를 만나지 못할지라도, 네가 날 잊게 될지라도 한 가지 비밀만은 말해주고 싶어. 나는 널 "
913mr,우리 'OTT 쉐어' 하자 ! 최대 75% 할인 받고 원하는 OTT 구독정산 스트레스 받을 필요 없이 남은 계정 공유하면 매달 정산해드려요공유 계정 이용하면 금전 사기 걱정되셨죠?계정에 문제가 생기면 언제든 변경하거나 환불 받을 수 있어요 
913mr,"★★★★-이창동 감독 / 유아인(이종수), 스티븐연(벤), 전종서(신해미)갈 길을 잃은 청춘들의 현주소. 목적성이 결여된 우리가 지금 이 삶에 각자 어떤 의미를 부여하며 살아가고 있을까? 우리는 사실 모두 리틀 헝거일 지 모른다.한국에는요, 비닐하우스들이 진짜 많아요. 쓸모없고 지저분해서 눈에 거슬리는 비닐하우스들. 걔네들은 다 내가 태워주기를 기다리는 것 "
913mr,"미로-오필리아와 세 개의 열쇠(2006) ★★★☆-기예르모 델 토로 감독 / 이바나 바쿠에로(오필리아), 더그 존스(판), 세르지 로페즈(비달), 마리벨 베르두(메르세데스), 아리아드나 길(카멘)잔혹한 현실에 동화 속으로 도망쳤지만 그곳에 낙원은 없었다. 판타지세계와 현실세계 사이, 그 생경히도 비참한 무언가.그녀가 지상에 남긴 흔적들은 어디를 봐야하는지 아는 자들에게만 "
913mr,"훗날 우리(2018) ★★★☆-유약영 감독 / 주동우(팡샤오샤오), 정백연(린젠칭), 톈좡좡(린젠칭의 아버지)앞서 나가느라 미처 서로에게 고개를 돌리지 못했던 사람들이 그 뒤안길에 남겨진 것들을 서툴게 어루만지는 방식.소중한 이를 잃기 전에 미안하다고 말하세요. 더 늦기 전에 사랑한다고 "
913mr,"액션을 넘 좋아하는데이런 ??사운드 테러 액션은 처음이에요!영화관 큰 스크린을 통해서 보니 더 짜릿한 영화 평소에도 영화광이라 개봉작은 무조건 다보는데올해 본 영화중 손에 꼽는 작품이네요 굿굿??스토리, 배우, 볼거리 모두 만족스러워서??극장에서 꼭 보시길 "
