movie,sentence,score
올빼미,연출과 연기 그리고 스토리까지 삼박자가 조화롭다,8
데시벨,개봉 전에 안좋은 여론몰이 때문에 너무 손해를 본 영화,7
올빼미,진짜 눈을 뗄수없을만큼 재밌었어요,10
동감,원작의 감동은 어디가고 유치함만 남았다,5
레지던트 이블: 파멸의 날,볼 것만 많았다.. 볼거리만..,6
올빼미,한국 사극 스릴러물 중 최고,10
"나는 내일, 어제의 너와 만난다",울보인 사람이 봤을때 이건 정말.. 중반부부터 오열함 두번째 보고있는데 처음 틀자마자 울었고 에미가 울때마다 난 오열했다 정말.. 나의 인생영화..,10
카센타,볼만합니다 볼만합니다,10
한산 리덕스,최근5년 우리나라영화 통틀어 제일 긴장감있고 재밌게 본영화였어요!,10
프리 가이,정말 너무 재미없었음 뻔한 스토리에 돈만 많이 갖다 쓴 쓰레기 영화 돈이 너무 아까웠음.. 라이언 레이놀즈 때문에 봤는데 너무 별로 였음..,1
올빼미,시간 가는줄 모르고 봤어요! 인생영화… ,10
동감,음.. 평점은 몬가몬가임. 진짜 광고로 처음 알게되서 볼까말까 고민 하다가 보러가기로 결심한 이유는 &amp;#34;종말좌&amp;#34;가 있었기 때문.영화내내 깨알 웃음포인트로 하드캐리 한듯. 견인차임 ㄹㅇ본인은 기대 안하고 봐서 잔잔하게 웃겼으니 만족했는데 사실 스토리? 음.. 왜?? 싶은 부분들이 많았고 전개상 개연성은 많이 부족했음. 배우들 연기는 잘했다고 생각함.영화 대비 표값이 비쌌는데 (2매 3만2천원)영화 끝나고 갑자기 분위기 시사회 여서 그랬던듯함. 여진구씨 실물 영접해서 표값에 대한 만족감이 확 들었음.,6
주연,왜 결말 이따구? 그래서 허영가득 한녀좀 너그럽게이해좀 해주라는거? 궁금한이야기 Y에 나올만한 혼인빙자 꽃뱀년스토리 그이상 이하도 아님. 결말 말해줄께.수소문 끝에 찾아낸 여동생은 여전히 지방어디서 또하나 병신 호구물어서 꽃뱀짓거리하고있다. 끝!,1
올빼미,와...나 너무 무섭게봤어요ㅠㅠ공포영화보다 더 무서웠던 장면...ㄷㄷㄷ진짜 재미있게 봤습니다! 진짜 추천!,10
"그 겨울, 나는",그시절 아팠던 우리처럼,10
올빼미,나름교훈도있었고잘봤습니다,8
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",처음에는 조금 지루한데살면서 영화보고 제일많이 울은듯 ㅠㅠ,8
압꾸정,무슨 내용을 전달하고 싶은지 모르겠는 영화.. 감동도 재미도 아무것도 못느끼겠고 너무 지루함 ..ㅠㅠ ,2
압꾸정,홍필름 특징이 뉴스에 나왔던 실제사례를 하나의 이야기로 만드는 것인데 각본도 촘촘하지 못한데다가 범죄도시처럼 중간을 매워줄 시원한 액션도 없으니 좋은영화는 아니다 ,5
올빼미,"안보면 후회함. 간만에 영화 보는내내 단 한번도 지루하지 않고, 연기, 스토리 흠잡을곳 없었고 스릴쩌는 영화임.. 류준열 연기력에 몇번이나 소름 돋았는지.. 진짜 2시간내내 지루할틈이 없었음 천만영화 간다면 류준열은 꼭 상받아야할 명작.. ",10
코코,진심은 언젠가는 전해진다지.,8
